,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,TEMP,MAX,MIN,DEWP,SLP,STP,WDSP,MXSPD,PRCP,SNDP,Fog,Rain or Drizzle,Snow or Ice Pellets,Hail,Thunder,Tornado or Funnel Cloud,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density,RH,SLP-STP,MSXPD-WDSP
1089,268176,Norovirus,2016/2/27,2016/3/1,8,IL,Illinois,DuPage,,,,,,,,,,,38.6625,51.9125,30.2375,28.0125,1010.575,983.9875,13.925,20.8625,0.0175,0.15,0.25,0.5,0.25,0.0,0.0,0.0,38.99027397,54727.45068,81440.65068,4.715149245,0.087194752,2848.997637,65.22914405474899,26.58750000000009,6.9375
1090,268184,Norovirus,2016/3/12,2016/3/13,17,NY,New York,New York,,,,,,,,,,,53.4,65.05,39.9,31.35,1020.75,1015.9,4.05,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.78068493,133734.6795,75195.10411,4.273952276,0.023897756,71764.32464,42.78795577822303,4.850000000000023,3.95
1091,268185,Norovirus,2016/3/26,2016/3/26,7,NY,New York,New York,,,,,,,,,,,46.3,72.0,37.9,30.2,1023.1,1018.1,5.8,11.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.7769863,133895.4959,75097.3863,4.277493184,0.02408138,71755.44339,53.179634935244316,5.0,5.3
1092,268221,Norovirus,2015/12/5,2015/12/5,42,ND,North Dakota,Burleigh,,,,,,,,,,,35.8,48.9,19.9,28.0,1018.1,957.3,3.1,8.9,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,36.8,6604.569863,64432.96986,4.177475058,0.50745656,52.83523342,72.97815519585518,60.80000000000007,5.800000000000001
1093,268222,Norovirus,2015/8/22,2015/8/22,31,ND,North Dakota,Cass,,,,,,,,,,,71.9,84.9,60.1,65.6,1001.8,969.1,14.6,31.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,31.83589041,16509.41918,53099.23562,6.020296549,0.664604899,90.45143372,80.60061643519406,32.69999999999993,16.5
1094,268228,Norovirus,2016/3/24,2016/3/27,9,OR,Oregon,Clatsop,,,,,,,,,,,48.275,55.525,43.325,42.325,1020.7,1019.525,7.375,14.525,0.2275,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.86657534,4353.341096,47368.19178,8.816656583,2.38505064,45.471392,79.77886425719876,1.1750000000000682,7.15
1095,268231,Norovirus,2016/1/18,2016/1/23,14,CO,Colorado,Douglas,,,,,,,,,,,36.66666667,51.2,23.1,18.0,1018.516667,820.6,6.683333333,13.7,0.001666667,0.0,0.0,0.0,0.166666667,0.0,0.0,0.0,37.89232877,28988.58219,105891.7712,3.953263228,0.088003502,374.5206164,46.27637110068856,197.91666699999996,7.016666666999999
1096,268239,Norovirus,2015/11/30,2015/11/30,11,WA,Washington,Skagit,,,,,,,,,,,28.63333333,40.26666667,22.1,26.6,1021.0,1015.4,1.0,4.1,0.003333333,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,40.6339726,7235.183562,54850.07397,5.807082691,1.850089403,68.41910117,91.9632527943729,5.600000000000023,3.0999999999999996
1097,268273,Norovirus,2016/3/29,2016/3/29,10,VA,Virginia,Fairfax,,,,,,,,,,,53.3,69.15,45.05,29.55,1017.65,1010.45,13.65,21.5,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.65424658,88918.26027,114208.9342,4.829065304,0.074979841,2902.97267,39.91428359866783,7.199999999999932,7.85
1098,268280,Norovirus,2016/3/19,2016/3/19,18,RI,Rhode Island,Providence,,,,,,,,,,,35.7,51.8,24.8,13.8,1022.2999877929688,999.4,7.0,11.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.35890411,30016.51507,50582.23562,6.630893336,0.217686708,1545.499784,40.03881080975029,22.899987792968773,4.1
