,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
72,587,20186,Norovirus,2014-07-06,2014-07-15,40,PA,Pennsylvania,Montgomery,,,,,,,,,,,77.0,1015.15,3.69,0.0455,67.97433782,10.99,6.995,40.91384945089728,43836.86677540148,79530.57158304793,4.396322599276401,0.1065114571401003,1671.053208611364
73,588,20167,Norovirus,2014-06-29,2014-07-01,8,UT,Utah,Salt Lake,,,,,,,,,,,73.76666667,1012.066667,5.266666667,0.0,27.26115315,140.8000003,5.433333333,31.36049247862347,55548.37220353609,61062.20173179497,5.106980139675518,0.1208544033750204,1422.590439308431
74,589,20217,Norovirus,2014-06-03,2014-06-04,8,MA,Massachusetts,Middlesex,,,,,,,,,,,63.95,1013.9,5.75,0.045,71.11698624,6.1,6.2,38.56737351120135,99974.9407313996,82627.28032985215,4.35041343425061,0.0899696094920689,1870.3277985668472
75,590,20223,Norovirus,2014-08-14,2014-08-15,11,OH,Ohio,Ashland,,,,,,,,,,,61.77,1016.3,4.525,0.005,45.6335251,46.8,4.335,40.0054898603787,3795.359511009239,46893.90675359525,5.696288127053819,1.205185440600954,125.84173047158136
76,591,20301,Norovirus,2014-08-14,2014-08-18,54,IL,Illinois,Winnebago,,,,,,,,,,,67.78,1015.46,4.6,0.0,72.52683708,26.44,6.0,38.8616115363497,10627.475364940072,47275.437961708674,5.133080996623109,0.2494197466555755,569.9105939901981
77,592,20372,Norovirus,2014-08-08,2014-08-14,15,MI,Michigan,Ottawa,,,,,,,,,,,65.52857143,1015.0,7.457142857,0.0,72.76206970214844,11.296743392944336,5.157142853,34.65679601950135,19168.024955195702,57550.85904725899,5.552272528055823,1.5255802255322386,476.750774497182
78,593,20384,Norovirus,2014-08-10,2014-08-10,14,MN,Minnesota,Kandiyohi,,,,,,,,,,,70.0,1022.1962280273438,5.3,0.0,83.0263813,27.660415649414062,6.7,40.1348630549367,2122.98493937226,51275.94251550459,4.732186799649714,2.4796863090410337,53.077294575221714
79,596,20456,Norovirus,2014-08-09,2014-08-10,22,NH,New Hampshire,Cheshire,,,,,,,,,,,66.125,1020.35,1.525,0.0,61.22343481,28.175,6.5,41.53003794317327,5993.180039252931,55514.94191934368,4.713791988487339,0.593593649349486,108.55420434333546
80,597,20516,Norovirus,2014-08-23,2014-08-23,7,FL,Florida,Escambia,,,,,,,,,,,86.76666667,1015.433333,5.3,0.0,66.7448748,2.983333,4.333333333,37.2575361400168,26977.270799599355,44529.91756454563,7.296341554295283,0.2357585244260336,461.53670142105
81,602,20598,Norovirus,2014-06-12,2014-06-13,30,WA,Washington,King,,,,,,,,,,,60.3125,1011.7,6.3375,0.065,69.26549876,5.95,5.6375,37.14171678726724,127985.29552775584,72259.70332671734,5.546265778687983,0.2878814820398184,940.5078967060996
