,Unnamed: 0.1,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
53,461,558,278052,Salmonella,2018-01-26,2018-01-26,16,MN,Minnesota,Anoka,,,,,,,,,,,,,,,,,,,36.9,1016.6961059570312,11.2,0.0,73.09603883,38.565879821777344,8.8,38.22183650238047,21218.840536768854,77026.5564110495,4.75156888266947,0.2159294588625883,815.7929618882523
54,463,560,278253,Salmonella,2017-12-31,2018-02-11,8,OR,Oregon,Washington,,,,,,,,,,,,,,,,,,,43.89534884,1020.211628,3.779069767,0.120930233,86.61826939,8.441861,5.03255814,36.40885126158888,44715.371662982776,74275.8804738863,5.330724381766928,1.0365325438002184,790.6289484603805
55,464,561,278730,Salmonella,2017-02-16,2017-03-05,8,CA,California,Santa Clara,,,,,,,,,,,,,,,,,,,51.71944444,1016.886111,6.216666667,0.148009259,70.27759573,4.326389,7.906944443,36.8207371773854,112879.1813061706,101924.54327911408,4.736768432216,0.4131047551965676,1463.9883895393316
56,469,570,279006,Salmonella,2018-02-15,2018-02-26,8,MD,Maryland,Anne Arundel,,,,,,,,,,,,,,,,,,,48.57611111,1023.498333,3.833888889,0.046916667,85.06342158,3.3025,6.617361111,38.50873097617831,35937.7202693845,94931.22419850202,4.994986282668496,0.0919766757147925,1362.1242443678416
57,477,579,279578,Salmonella,2018-01-20,2018-01-20,5,IL,Illinois,Lake,,,,,,,,,,,,,,,,,,,40.55,1010.6,9.95,0.0,63.36860997,26.9,12.1,38.011469232985306,40497.876299006646,82792.18446073223,4.557981574610322,0.1848531346906378,1587.9171566480186
58,483,585,280155,Salmonella,2017-02-25,2017-02-28,66,CA,California,Sacramento,,,,,,,,,,,,,,,,,,,45.825,1017.2,4.91875,0.0,69.47004823,1.88125,6.98125,35.73422686296676,80744.73430381934,57864.16479308732,5.562322651038716,0.4847793998751402,1535.9928358669454
59,515,625,283133,Salmonella,2018-12-25,2018-12-30,9,VA,Virginia,Dinwiddie,,,,,,,,,,,,,,,,,,,42.05,1016.404296875,2.25,0.146666667,77.85952565,53.042091369628906,5.116666667,43.19982354840769,1545.425955988156,55865.75242605623,3.612748956882284,0.5368020013987996,56.1909641876326
60,523,636,284587,Salmonella,2018-02-23,2018-05-30,50,CA,California,Stanislaus,,,,,,,,,,,,,,,,,,,60.44123711,1016.316495,6.460824742,0.047835052,56.4038089,3.768578,6.580412368,33.922322388176134,23529.79900173882,55110.88716010691,5.3428357732177725,4.184520056018666,359.1557989784487
61,535,650,288109,Salmonella,2019-02-27,2019-02-27,18,CA,California,San Diego,,,,,,,,,,,,,,,,,,,55.46428571,1019.684615,3.2,0.0,75.38649369,18.784615,6.25,35.636953918157644,167144.25507336896,75519.2883424607,6.559175606178126,0.5176146500235376,785.6739683371036
62,537,655,289335,Salmonella,2019-02-24,2019-03-05,19,CA,California,Orange,,,,,,,,,,,,,,,,,,,56.83,1018.743333,3.273333333,0.076333333,75.04754239,2.296666,5.26,37.85247561405548,138329.55493937104,86028.47708681892,5.7234775826956525,0.3716866489562232,4002.808112428645
63,557,680,290889,Salmonella,2019-02-16,2019-02-24,85,IL,Illinois,Cook,,,,,,,,,,,,,,,,,,,29.25925926,1020.583333,10.07777778,0.037814815,75.44540465,24.7018515,7.75185185,36.62328149614115,171316.09794389555,62455.02983664892,5.5381177799627865,0.0739786324468808,5521.805300599117
64,574,699,293415,Salmonella,2019-12-14,2019-12-18,21,TX,Texas,Travis,,,,,,,,,,,,,,,,,,,51.9,1017.44,6.415,0.0005,58.87892075,27.145,5.81,34.187713173321306,95788.049642313,75678.03858810806,5.77507087674783,0.1186149831337326,1238.0204116520176
65,576,701,296022,Salmonella,2019-01-16,2019-02-03,21,CA,California,Orange,,,,,,,,,,,,,,,,,,,58.51403509,1018.242105,3.952631579,0.221754386,60.49743189,2.342105,6.461403511,37.82208156207562,138399.57583173804,85658.21607046296,5.730845913005659,0.3701392504990963,4002.585520053783
66,580,705,296585,Salmonella,2019-12-14,2019-12-14,8,TX,Texas,Denton,,,,,,,,,,,,,,,,,,,47.7,1011.1,3.2,0.0,65.46652523,24.75,7.3,35.482901981154896,87206.79308577273,86707.39711917285,5.097109584273923,0.129235300360417,947.695504182236
