,Unnamed: 0.1,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
52,197,239,18101,Salmonella,2013-05-05,2013-05-20,137,CA,California,Fresno,Merced,Sacramento,San Diego,Santa Cruz,Yuba,,,,,,,,,,,,,,65.8582354,1015.99881,5.802086538,0.016515171,58.54354975,13.647511,5.880288462,33.18222846843974,50291.812302229286,53309.54040770025,5.7628818049288695,4.460983167264298,535.8542047933357
53,199,241,18275,Salmonella,2013-05-07,2013-05-07,5,MD,Maryland,Carroll,,,,,,,,,,,,,,,,,,,59.5,1014.6718139648438,6.4,0.0,88.82909137,15.158193588256836,5.6,41.28362409028772,6115.214566935172,83592.16582461474,4.181795878601311,0.4207950605618145,373.6347159467508
54,201,243,18405,Salmonella,2013-05-03,2013-05-05,8,WI,Wisconsin,Outagamie,,,,,,,,,,,,,,,,,,,47.56666667,1016.8777465820312,9.466666667,0.026666667,76.64526638,41.44726943969727,4.833333333,37.42324687339319,8923.92471035262,57834.36732748946,5.628085249545458,0.4323961023861078,277.93409846065714
55,203,245,18408,Salmonella,2013-04-20,2013-04-26,5,WI,Wisconsin,Walworth,,,,,,,,,,,,,,,,,,,44.87857143,1022.214286,8.748571429,0.04,53.77366779,29.6057146,5.848571431,38.00627699204012,6934.146722537568,54224.77558281428,6.597288714140646,1.0269134272701066,184.44224410849023
56,204,246,18412,Salmonella,2013-05-23,2013-09-23,17,WI,Wisconsin,Brown,Dane,Manitowoc,Marathon,Milwaukee,Outagamie,,,,,,,,,,,,,,66.22529122,1015.926613,6.177318548,0.09452765,70.25378808,31.7022466,6.472199822,37.49827114226439,16941.264316526016,53187.74405095072,5.576402832333555,0.904197900261421,886.3362504571626
57,205,247,18414,Salmonella,2013-05-18,2013-05-20,25,WI,Wisconsin,Marathon,,,,,,,,,,,,,,,,,,,66.03333333,1011.033333,8.516666667,0.093333333,74.08822474,43.983333,5.633333333,39.41147481841332,5034.565152355496,53526.911776935805,4.815904130969916,1.305418698382227,86.88028328977146
58,208,251,18682,Salmonella,2014-03-21,2014-04-15,11,MA,Massachusetts,Middlesex,,,,,,,,,,,,,,,,,,,41.93461538,1015.830769,8.657692308,0.193461538,57.27823733,6.419231,8.426923072,38.58564569445116,99719.44547985868,82386.57470727565,4.336643524616975,0.093484138368398,1866.7783667924373
59,211,255,19135,Salmonella,2014-05-15,2014-05-20,8,CT,Connecticut,New Haven,,,,,,,,,,,,,,,,,,,61.425,1018.372222,8.204166667,0.2,57.25968163,9.75,6.908333333,39.48356335302768,34322.76117495419,61871.44458623103,5.0394589886396055,0.2453490645892883,1427.5372527059117
60,212,256,19186,Salmonella,2013-03-14,2013-03-21,64,NE,Nebraska,Douglas,,,,,,,,,,,,,,,,,,,33.8375,1018.8,8.125,0.01375,70.88120794,37.86875,7.36875,33.61576256464909,29846.15876588953,53323.53346463226,5.919309715690743,0.3247015244681879,1582.0349097084238
61,213,257,19327,Salmonella,2014-05-10,2014-05-10,19,OK,Oklahoma,Okfuskee,,,,,,,,,,,,,,,,,,,73.48,1014.4474487304688,7.51,0.0,69.30901119,42.49107360839844,9.49,40.2691463130683,965.0245275258465,35348.09687661913,4.449948203231454,2.0568543668633272,19.838021438842343
62,214,258,19372,Salmonella,2014-05-07,2014-06-11,21,IL,Illinois,Cook,,,,,,,,,,,,,,,,,,,62.68444444,1015.116667,8.114444444,0.107583333,64.65072055,22.4379633,7.376111116,35.58067831007142,173971.81836739418,54634.14613582354,5.658888265992494,0.0935158382226353,5520.229002990764
63,222,267,20194,Salmonella,2014-05-03,2014-05-03,18,CA,California,Orange,,,,,,,,,,,,,,,,,,,75.23333333,1012.566667,3.833333333,0.0,34.67347844,2.233334,6.866666667,36.484336458677305,135039.848318553,75574.63123768778,5.57814786837949,0.3054448309350611,3874.402685354924
64,240,290,20599,Salmonella,2014-05-14,2014-05-15,7,WA,Washington,Pierce,,,,,,,,,,,,,,,,,,,66.48,1021.9625,2.6,0.0,53.04356914,11.645833,6.5125,35.81528351001134,56959.88606469658,59390.454773638296,5.503417692694722,0.3738242157744234,483.9627918723045
65,247,299,20924,Salmonella,2014-05-01,2014-05-22,13,OH,Ohio,Carroll,Cuyahoga,Geauga,Portage,Summit,Trumbull,,,,,,,,,,,,,,59.2175,1015.539067,6.942636364,0.13282702,63.85001804,36.1494647,7.291272726,41.42277364354592,15058.52635143864,50461.36804052355,6.279709632425687,0.29733415799057,844.8779466674483
66,258,311,230812,Salmonella,2014-04-16,2014-04-16,8,AL,Alabama,Baldwin,,,,,,,,,,,,,,,,,,,51.34285714,1021.55,7.766666667,0.0,54.83191362,0.55,8.873333333,41.58946036516362,14135.409797174245,50192.63973678584,6.90497772951288,0.6489336495717065,118.44860432649764
67,260,313,262150,Salmonella,2014-03-15,2014-03-19,6,NJ,New Jersey,Hudson,,,,,,,,,,,,,,,,,,,36.494,1019.032,0.684,0.0,22.21624274,6.092,11.076,34.42570148039279,37025.31287353137,58471.541022203375,5.034453729642531,0.0901331918840633,13999.67541961039
68,262,315,262176,Salmonella,2014-05-02,2014-05-24,11,NJ,New Jersey,Atlantic,Burlington,Camden,,,,,,,,,,,,,,,,,61.59086957,1016.023789,3.586770186,0.038198758,54.88972338,2.701941,8.304968944,39.70530784828625,17884.831321126705,64959.605989133735,6.764203108615066,0.2262342013085509,1126.0530321788317
69,264,317,262240,Salmonella,2014-04-24,2014-05-05,5,CA,California,Orange,,,,,,,,,,,,,,,,,,,69.75555556,1014.025,5.827777778,0.016111111,37.98264778,2.252778,7.750000002,36.48175087982215,135051.83541449715,75569.0778302775,5.577581823602078,0.3054420951160319,3873.986022935795
70,267,322,262350,Salmonella,2015-03-10,2015-03-12,9,MN,Minnesota,Dakota,,,,,,,,,,,,,,,,,,,45.11666667,1016.545654296875,5.2,0.0,57.68962652,50.59585952758789,8.8,37.340263181925486,25580.41344330905,75129.51155771641,5.080626191667356,0.2308641730972225,722.398075490596
71,271,327,263258,Salmonella,2015-04-25,2015-04-26,5,IL,Illinois,Winnebago,,,,,,,,,,,,,,,,,,,45.45,1012.95,10.6,0.115,58.01154164,27.15,6.4,38.98529487936261,10996.476204851508,47724.516898908776,5.251137425453747,0.285650622972225,567.9005707242732
72,272,328,262831,Salmonella,2012-05-05,2012-05-05,38,CA,California,Orange,,,,,,,,,,,,,,,,,,,63.8,1016.0,3.833333333,0.0,71.66480598,2.266667,5.8,36.07502907443901,133709.56209937055,75786.3253834629,5.138314105941255,0.339671877545278,3795.769949198724
73,275,332,262924,Salmonella,2015-03-27,2015-03-27,24,TN,Tennessee,Shelby,,,,,,,,,,,,,,,,,,,42.4,1018.2,5.65,0.05,77.89087258,11.7,7.35,34.82995045209139,36974.66163282671,46197.1609313376,5.31351739157927,0.1953472091762073,1227.4364614413753
74,279,337,263574,Salmonella,2015-04-22,2015-11-15,46,MO,Missouri,Cape Girardeau,Greene,Jackson,Jefferson,Madison,Scott,St. Charles,St. Louis,St. Louis City,,,,,,,,,,,69.25213953,1016.023614,5.839566652,0.146711101,68.47217231,25.1787047,6.573025568,37.88360127023214,20536.33670534483,47862.00456521689,6.352821449566822,0.5090665736506808,1101.046651688614
