,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
43,8599,Salmonella,2011-08-11,2011-08-20,15,NY,New York,Westchester,,,,,,,,,,,,,,,,,,,71.14,1013.04,4.29,0.357,72.96778275,14.17,5.17,39.81514623742487,35865.42751793045,80465.08894960085,3.9910732082911027,0.08038759413561822,2188.6824299178943
44,8602,Salmonella,2011-08-10,2011-08-10,5,NY,New York,Bronx,,,,,,,,,,,,,,,,,,,75.96666667,1001.533333,5.55,0.756666667,71.94316572,4.433333,8.4,32.58950547041879,63875.35148931916,34781.248299024526,5.837226583489497,0.19012675814427996,32550.854951816167
45,8610,Salmonella,2011-07-14,2011-08-12,64,CA,California,San Diego,,,,,,,,,,,,,,,,,,,67.82143056,1013.083892,4.764680556,0.00225,69.20447797,18.8375031,5.496000004,34.55808621844231,169057.60202301384,63732.69814872096,5.721704124743135,0.5303258158705828,723.5990633176384
46,8613,Salmonella,2011-03-17,2011-03-18,5,FL,Florida,Palm Beach,,,,,,,,,,,,,,,,,,,74.725,1023.3,6.825,0.0,53.50495431,0.225,4.95,43.141990769544556,70491.83983561366,53122.116803470984,6.203625947354013,0.8296406489985959,660.3520090885951
47,8634,Salmonella,2011-08-20,2011-09-19,7,KS,Kansas,Douglas,Johnson,Reno,Riley,,,,,,,,,,,,,,,,72.99124424,1014.813441,6.232903226,0.067542243,55.24329907,40.2315055,6.393548384,31.988048052205006,16500.141490945665,50867.90767726673,6.8216991363956625,0.4131798668673856,384.8529335091795
48,8635,Salmonella,2011-09-07,2011-09-28,8,KS,Kansas,Lyon,,,,,,,,,,,,,,,,,,,63.95909091,1017.5,6.513636364,0.088636364,58.24355277,43.2045455,6.963636366,31.720467351502194,3321.1982087684487,37583.36564970232,6.435683042331877,1.4561647890186011,40.91945934205224
49,8646,Salmonella,2011-09-08,2011-09-09,6,VA,Virginia,Prince William,,,,,,,,,,,,,,,,,,,73.325,1012.0,2.825,3.555,90.11640914,8.36,5.335,33.357791502729725,35202.7505170441,94911.3331952797,3.915138463302336,0.05885055224039856,1152.2555664114739
50,8663,Salmonella,2011-08-10,2011-10-18,8,MN,Minnesota,Hennepin,Steele,Washington,,,,,,,,,,,,,,,,,63.79621429,1015.044286,6.0605,0.047121429,62.41587963,34.0685717,7.16085714,37.376664687819016,30384.949304560178,66184.23753104419,4.723027892838006,0.4713406461924163,920.3036809378112
51,8675,Salmonella,2011-09-05,2011-09-05,13,GA,Georgia,Clarke,,,,,,,,,,,,,,,,,,,73.9,1008.9,7.4,0.03,85.30245449,28.5,4.6,25.69034411832488,15284.813511997198,34144.77818149915,9.608723397768795,0.5959168394294341,970.3283260315608
52,8686,Salmonella,2011-09-16,2011-09-26,68,SC,South Carolina,York,,,,,,,,,,,,,,,,,,,67.06363636,1019.345455,2.781818182,0.310909091,85.96294381,23.4363641,5.490909091,36.93290649580552,14109.256973380234,53657.81692857843,5.84432846274428,0.2934275663358321,322.95142432113835
