,Unnamed: 0,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,TEMP,SLP,WDSP,PRCP,RH,SLP-STP,MXSPD-WDSP,Median age,Immigrants,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
215,639,21425,Norovirus,2015-01-09,2015-01-09,9,VA,Virginia,Virginia Beach,,,,,,,,,,,31.43333333,1023.666667,11.46666667,0.0,39.76398472,0.566667,4.83333333,34.89973827982165,39809.37980407648,67022.14180895146,6.163544300354526,0.1092053578986025,1789.8334625685736
216,640,21438,Norovirus,2014-12-20,2015-01-04,9,OH,Ohio,Franklin,,,,,,,,,,,35.7625,1020.540625,6.6796875,0.12578125,76.50435384,31.515625,6.84375,33.798971936831165,75237.00424580048,51882.94190729463,5.885814356403031,0.1150745689983928,2249.9938183022778
217,641,21462,Norovirus,2014-12-27,2014-12-29,14,CO,Colorado,Elbert,,,,,,,,,,,13.73333333,1017.2269287109376,5.9,0.0,66.67746737,24.23065948486328,6.8,44.49446590742664,2347.0722183145813,82142.22729712511,4.9417630158976,0.6329582220916129,12.719989672539768
218,642,21486,Norovirus,2015-01-10,2015-01-10,18,CT,Connecticut,Hartford,,,,,,,,,,,18.25,1025.7,7.0,0.085,48.47502605,3.8,4.95,40.00121188305677,37358.01165926304,65517.64268405035,5.125220875902693,0.1417136087614328,1220.7770132005128
219,643,21516,Norovirus,2015-01-05,2015-01-06,61,KS,Kansas,Allen,Neosho,Woodson,,,,,,,,,22.57333333,1034.046667,7.296666667,0.0,61.91327306,38.496667,9.316666663,43.16329843337783,876.9867995006163,40149.49497506047,4.85794492475799,1.0627584949997029,20.571208295201288
220,644,21518,Norovirus,2014-12-21,2014-12-21,6,IL,Illinois,Peoria,,,,,,,,,,,36.8,1022.1,8.1,0.0,73.98778473,24.9,6.9,36.79833025488977,10607.410706620669,51445.3784607694,5.449631351915795,0.2027740717761734,302.31891498946453
221,645,21537,Norovirus,2015-01-16,2015-01-18,21,OH,Ohio,Stark,,,,,,,,,,,32.66333333,1015.933333,10.73333333,0.003333333,64.82998262,44.3299997,6.5,41.60839915837016,14408.832265231727,46324.2347206203,6.92302871303493,0.3371144750740182,652.009364760664
222,646,21567,Norovirus,2015-01-10,2015-01-10,6,FL,Florida,Orange,,,,,,,,,,,54.4,1027.55,7.4,0.0,67.19514603,4.15,4.65,34.20542964922958,98737.64941179156,47560.19423655881,8.407678246233852,0.2805738895481112,1329.382659791071
223,647,21577,Norovirus,2015-01-17,2015-01-20,10,MN,Minnesota,Pipestone,,,,,,,,,,,34.35,1017.3524169921876,8.225,0.0,83.90852625,42.65639114379883,9.05,42.1862573620482,675.6396542984086,46804.42273648328,4.6428279617001404,3.675347199634567,20.221641360986567
224,648,21580,Norovirus,2015-01-19,2015-01-19,11,IA,Iowa,Story,,,,,,,,,,,30.4,1014.3,2.0,0.0,87.34983771,35.2,6.9,26.47944688468593,15096.8792044993,51251.25554096165,6.153420242588921,1.3499282285540224,160.63999258506232
